id,description,name,price,quantity_in_stock,brand_id,category_id,image_url
34,Paměť s kovovým chladičem pro lepší odvod tepla a vysoký výkon.,Patriot Viper Steel 16GB (2x8GB) DDR4 3200MHz,1999,16,8,4,https://image.alza.cz/products/DP085b1b/DP085b1b.jpg?width=2000&height=2000
35,"Paměť s nízkou latencí a moderním designem, ideální pro hráče.",Crucial Ballistix 16GB DDR4 3000MHz,1899,19,8,4,https://image.alza.cz/products/CR514o1a1/CR514o1a1.jpg?width=2000&height=2000
38,Spolehlivá paměť s automatickým přetaktováním a stylovým designem.,"G.SKILL 16GB KIT DDR4 3000MHz CL16 Gaming series Aegis

",1799,22,2,4,https://image.alza.cz/products/GSKILL0027/GSKILL0027.jpg?width=2000&height=2000
39,Paměť s kovovým chladičem pro lepší odvod tepla a vysoký výkon.,"Corsair 64GB KIT DDR4 3200MHz CL16 Vengeance LPX černá

",1999,16,8,4,https://image.alza.cz/products/DO710l8d4/DO710l8d4.jpg?width=2000&height=2000
37,Rychlá paměť s agresivním designem a pasivním chlazením pro hráče.,Crucial SO-DIMM 96GB KIT DDR5 5600MHz CL46,2099,17,3,4,https://image.alza.cz/products/CR113gd5c5a/CR113gd5c5a.jpg?width=2000&height=2000
40,"Paměť s nízkou latencí a moderním designem, ideální pro hráče.","Kingston FURY 32GB KIT DDR5 6000MT/s CL36 Beast White RGB EXPO

",1899,18,5,4,https://image.alza.cz/products/DEbw32b60er2/DEbw32b60er2.jpg?width=2000&height=2000
41,"SSD disk 2.5"", SATA III, TLC (Triple-Level Cell), rychlost čtení 560MB/s, rychlost zápisu 530MB/s, životnost 600TBW",Samsung 870 EVO 1TB,2499,10,1,5,https://image.alza.cz/products/SAS013g5/SAS013g5.jpg?width=2000&height=2000
42,"SSD disk 2.5"", SATA III, TLC (Triple-Level Cell), rychlost čtení 500MB/s, rychlost zápisu 450MB/s, životnost 300TBW",Kingston A400 960GB,1479,15,2,5,https://image.alza.cz/products/FT132e6a3a/FT132e6a3a.jpg?width=2000&height=2000
43,"SSD disk 2.5"", SATA III, TLC (Triple-Level Cell), rychlost čtení 545MB/s, rychlost zápisu 525MB/s, životnost 400TBW",WD Blue SA510 1TB,1999,12,9,5,https://image.alza.cz/products/FWsa510a3/FWsa510a3.jpg?width=2000&height=2000
44,"SSD disk 2.5"", SATA III, TLC (Triple-Level Cell), rychlost čtení 560MB/s, rychlost zápisu 510MB/s, životnost 360TBW",Crucial MX500 1TB,1999,8,4,5,https://image.alza.cz/products/CR006z6c/CR006z6c.jpg?width=2000&height=2000
47,"SSD disk 2.5"", SATA III, QLC (Quad-Level Cell), rychlost čtení 520MB/s, rychlost zápisu 430MB/s, životnost 240TBW",Patriot P210 512GB,739,25,7,5,https://image.alza.cz/products/DP826d3/DP826d3.jpg?width=2000&height=2000
48,"SSD disk 2.5"", SATA III, 3D NAND, rychlost čtení 550MB/s, rychlost zápisu 500MB/s, životnost 500TBW",Verbatim VI550 S3 2TB,2699,7,6,5,https://image.alza.cz/products/DY251a5/DY251a5.jpg?width=2000&height=2000
49,"SSD disk 2.5"", SATA III, TLC (Triple-Level Cell), rychlost čtení 560MB/s, rychlost zápisu 530MB/s, životnost 600TBW",WD Red SA500 1TB,1999,9,5,5,https://image.alza.cz/products/FW236c3f/FW236c3f.jpg?width=2000&height=2000
50,"SSD disk 2.5"", SATA III, 3D NAND, rychlost čtení 540MB/s, rychlost zápisu 460MB/s, životnost 200TBW",DAHUA C800A 512GB,679,30,2,5,https://image.alza.cz/products/DAHc800a3/DAHc800a3.jpg?width=2000&height=2000
51,"Pevný disk 3.5"", SATA III, 64MB cache, 7200 ot/min, ideální pro běžné použití.",WD Blue 1TB,1339,10,9,6,https://image.alza.cz/products/FW138l/FW138l.jpg?width=2000&height=2000
52,"Pevný disk 3.5"", SATA III, 64MB cache, optimalizovaný pro monitorovací systémy.",WD Purple 1TB,1299,8,9,6,https://image.alza.cz/products/FW230p2/FW230p2.jpg?width=2000&height=2000
53,"Pevný disk 3.5"", SATA III, 7200 ot/min, vysoký výkon pro náročné aplikace.",Seagate BarraCuda 1TB,1349,12,10,6,https://image.alza.cz/products/FP957k1aa/FP957k1aa.jpg?width=2000&height=2000
54,"Pevný disk 2.5"", SATA III, 128MB cache, 5400 ot/min, ideální pro notebooky.",WD Red Plus 6TB,1339,15,9,6,https://image.alza.cz/products/FW233b2e/FW233b2e.jpg?width=2000&height=2000
55,"Pevný disk 2.5"", SATA III, 128MB cache, 5400 ot/min, spolehlivý disk pro notebooky.",Seagate Exos X24 24TB SATA Standard ISE,1539,20,10,6,https://image.alza.cz/products/FX080b1a1/FX080b1a1.jpg?width=2000&height=2000
56,"Pevný disk 2.5"", SATA III, 64MB cache, 7200 ot/min, vysoký výkon pro náročné uživatele.",WD Red Plus 8TB,1989,7,9,6,https://image.alza.cz/products/FW233b1e2/FW233b1e2.jpg?width=2000&height=2000
57,"Pevný disk 3.5"", SATA III, 128MB cache, 7200 ot/min, navržený pro servery a datová úložiště.",WD Red Plus 4TB,2249,5,9,6,https://image.alza.cz/products/FW233b2d/FW233b2d.jpg?width=2000&height=2000
58,"Pevný disk 2.5"", SAS, 256MB cache, 10000 ot/min, vhodný pro servery a datová centra.",Seagate IronWolf Pro 16TB,4499,4,10,6,https://image.alza.cz/products/FP986a1h/FP986a1h.jpg?width=2000&height=2000
59,"Externí pevný disk 2.5"", USB 3.2 Gen 1, kapacita 2TB, ideální pro hráče.",WD Ultrastar DC HC570 22TB SATA SE,2199,6,9,6,https://image.alza.cz/products/FWuh570s8/FWuh570s8.jpg?width=2000&height=2000
60,"Externí pevný disk 2.5"", USB 3.1, kapacita 1TB, tenký a elegantní design.",WD Gold 4TB,1959,14,9,6,https://image.alza.cz/products/FW237c3b/FW237c3b.jpg?width=2000&height=2000
61,"Napájecí zdroj 850W, ATX, 80 PLUS Gold, účinnost 90%, 1x PCIe (6+2-pin), 4x SATA, aktivní PFC, 120mm ventilátor.",Corsair RM850x ATX 3.1,1299,10,7,7,https://image.alza.cz/products/UY006rm85new/UY006rm85new.jpg?width=2000&height=2000
62,"Napájecí zdroj 550W, ATX, 80 PLUS, účinnost 82%, 1x PCIe (6+2-pin), 4x SATA, aktivní PFC, 140mm ventilátor.",EVOLVEO FX550 80Plus,1099,15,9,7,https://image.alza.cz/products/UE107b/UE107b.jpg?width=2000&height=2000
46,"SSD disk 2.5"", SATA III, TLC (Triple-Level Cell), rychlost čtení 560MB/s, rychlost zápisu 540MB/s, životnost 600TBW",Apacer AS350 Panther 1TB,1399,17,2,5,https://image.alza.cz/products/APA350b4/APA350b4.jpg?width=2000&height=2000
63,"Napájecí zdroj 500W, ATX, 80 PLUS, účinnost 85%, 2x PCIe (6+2-pin), 6x SATA, aktivní PFC, 120mm ventilátor.",FSP Fortron Hyper S 500,1199,12,9,7,https://image.alza.cz/products/UD956c1u/UD956c1u.jpg?width=2000&height=2000
64,"Napájecí zdroj 750W, ATX, 80 PLUS Gold, účinnost 90%, 4x PCIe (6+2-pin), 8x SATA, modulární kabeláž, 135mm ventilátor.",SilentiumPC Supremo FM2 Gold 750W,1999,8,9,7,https://image.alza.cz/products/SPC169/SPC169.jpg?width=2000&height=2000
66,"Napájecí zdroj 700W, ATX, 80 PLUS Bronze, účinnost 88%, 2x PCIe (6+2-pin), 6x SATA, aktivní PFC, 120mm ventilátor.",SilentiumPC Vero M3 Bronze 700W,1499,14,9,7,https://image.alza.cz/products/SPCvm3b700/SPCvm3b700.jpg?width=2000&height=2000
67,"Napájecí zdroj 550W, ATX, 80 PLUS Bronze, účinnost 85%, 2x PCIe (6+2-pin), 5x SATA, aktivní PFC, 120mm ventilátor.",Be quiet! SYSTEM POWER 9 CM 600W,1399,9,7,7,https://image.alza.cz/products/BNsp9cmc/BNsp9cmc.jpg?width=2000&height=2000
68,"Napájecí zdroj 550W, ATX, 80 PLUS Bronze, účinnost 85%, 2x PCIe (6+2-pin), 5x SATA, aktivní PFC, 120mm ventilátor.",Zalman GigaMax III 650W,1299,11,6,7,https://image.alza.cz/products/UEgm3a1/UEgm3a1.jpg?width=2000&height=2000
70,"Napájecí zdroj 650W, ATX, 80 PLUS Bronze, účinnost 85%, 2x PCIe (6+2-pin), 6x SATA, aktivní PFC, 120mm ventilátor.",Corsair AX1600i,1599,13,7,7,https://image.alza.cz/products/UY005h/UY005h.jpg?width=2000&height=2000
71,"Chladič na procesor socket AM4 a AM5, 1150, 1151, 1155, 1156, 1200, 1700 a 1851, 1x120mm ventilátor, 4× heatpipe, max. hlučnost 32,8dB, max. rychlost 2500RPM, výška 152mm, PWM",ID-COOLING SE-224-XTS BLACK,639,10,8,8,https://image.alza.cz/products/IDCse224ssb/IDCse224ssb.jpg?width=2000&height=2000
72,"Chladič na procesor socket AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+ a AM5, 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-3, 2066 a 1851, 220 W, 1x120mm ventilátor, 4× heatpipe, max. rychlost 1800RPM, výška 155mm, PWM",SilentiumPC Fera 5,849,15,9,8,https://image.alza.cz/products/CBf5/CBf5.jpg?width=2000&height=2000
73,"Chladič na procesor socket AM4 a AM5, 1150, 1151, 1155, 1156, 1200, 1700 a 1851, 270 W, 1x120mm a 1x135mm ventilátor, 7× heatpipe, max. hlučnost 23,3dB, max. rychlost 2000RPM, výška 168mm, PWM",Endorfy Fera 5 Dual Fan,2459,8,9,8,https://image.alza.cz/products/ENDf5d/ENDf5d.jpg?width=2000&height=2000
74,"Chladič na procesor socket AM4, 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-3, 2066, 1x120mm ventilátor, 4× heatpipe, max. hlučnost 33,6dB, max. rychlost 1800RPM, výška 155mm, PWM",MSI Core Frozr L,1599,12,6,8,https://image.alza.cz/products/EF890SCL/EF890SCL.jpg?width=2000&height=2000
75,"Chladič na procesor socket AM4, AM5, 1150, 1151, 1155, 1156, 1200, 1700, 1x92mm ventilátor, 2× heatpipe, max. hlučnost 26,5dB, max. rychlost 2200RPM, výška 125mm, PWM",DeepCool AG200,499,20,9,8,https://image.alza.cz/products/DECOag200/DECOag200.jpg?width=2000&height=2000
76,"Chladič na procesor socket AM4, AM5, 1150, 1151, 1155, 1156, 1200, 1700, 1x120mm ventilátor, 4× heatpipe, max. hlučnost 31dB, max. rychlost 2000RPM, výška 158.5mm, RGB, PWM",Cooler Master MasterAir MA410P,999,10,8,8,https://image.alza.cz/products/CAma410p/CAma410p.jpg?width=1400&height=1400
77,"Pasivní chladič na procesor socket 1366, 6× heatpipe, výška 160mm, bez ventilátoru",Thermalright Ultra-120 eXtreme 1366,1299,5,9,8,https://image.alza.cz/products/CT254m/CT254m.jpg?width=2000&height=2000
78,"Chladič na procesor socket AM4, AM5, 1150, 1151, 1155, 1156, 1200, 1700, 2x140mm ventilátor, 6× heatpipe, max. hlučnost 24,6dB, max. rychlost 1500RPM, výška 165mm, PWM",SilentiumPC Fera 5 Dual Fan,2699,7,9,8,https://image.alza.cz/products/CBf5df/CBf5df.jpg?width=2000&height=2000
79,"Chladič na procesor socket AM4, AM5, 1150, 1151, 1155, 1156, 1200, 1700, 1x140mm ventilátor, 6× heatpipe, max. hlučnost 26dB, max. rychlost 1300RPM, výška 161mm, PWM",Scythe Mugen MAX,1499,9,9,8,https://image.alza.cz/products/CT260m7d/CT260m7d.jpg?width=1400&height=1400
80,"Chladič na procesor socket AM4, AM5, 1150, 1151, 1155, 1156, 1200, 1700, 2x120mm ventilátor, 4× heatpipe, max. hlučnost 23.9dB, max. rychlost 1800RPM, výška 155mm, PWM",Endorfy Fera 5 Dual Fan,999,11,9,8,https://image.alza.cz/products/ENDf5d/ENDf5d.jpg?width=2000&height=2000
81,"Počítačová skříň mATX, 1× 3,5"", 2× 2,5"", USB 3.2 Gen 1, sluchátka a mikrofon, 1x120mm ventilátor, max. výška chladiče 159 mm, max. délka grafické karty 360 mm, bez zdroje, akrylová bočnice.",Corsair 4000D AIRFLOW Tempered Glass Black,1769,10,8,9,https://image.alza.cz/products/UY009g3/UY009g3.jpg?width=2000&height=2000
82,"Počítačová skříň ATX, 2× 3,5"", 3× 2,5"", USB 3.0, 2x120mm ventilátor, max. výška chladiče 172 mm, max. délka grafické karty 315 mm, bez zdroje, temperované sklo.",be quiet! Pure Base 500DX Black,2182,8,9,9,https://image.alza.cz/products/BGpb500dx/BGpb500dx.jpg?width=2000&height=2000
83,"Počítačová skříň ATX, 2× 3,5"", 2× 2,5"", USB 3.0, 1x120mm ventilátor, max. výška chladiče 160 mm, max. délka grafické karty 340 mm, bez zdroje, akrylová bočnice.",Montech AIR 100 LITE Black,889,15,9,9,https://image.alza.cz/products/MONa100a1/MONa100a1.jpg?width=2000&height=2000
84,"Počítačová skříň ATX, 2× 3,5"", 2× 2,5"", USB 3.0, 3x120mm RGB ventilátor, max. výška chladiče 170 mm, max. délka grafické karty 360 mm, bez zdroje, temperované sklo.",NZXT H5 Flow (2024) All Black,2639.13,7,7,9,https://image.alza.cz/products/CBh5f5/CBh5f5.jpg?width=2000&height=2000
85,"Počítačová skříň ATX, 2× 3,5"", 2× 2,5"", USB 3.1 Gen 1, 2x120mm ventilátor, max. výška chladiče 165 mm, max. délka grafické karty 381 mm, bez zdroje, temperované sklo.",Montech X3 MESH White,1490,12,9,9,https://image.alza.cz/products/MONx3m2/MONx3m2.jpg?width=2000&height=2000
69,"Napájecí zdroj 550W, ATX, 80 PLUS Bronze, účinnost 85.5%, 2x PCIe (6+2-pin), 6x SATA, aktivní PFC, 120mm ventilátor.",Corsair CX750,1439,5,7,7,https://image.alza.cz/products/UY006cx5/UY006cx5.jpg?width=2000&height=2000
65,"Napájecí zdroj 500W, ATX, 80 PLUS, účinnost 85%, 1x PCIe (6+2-pin), 4x SATA, aktivní PFC, 120mm ventilátor.",ACE POWER 500W BLACK,999,39,9,7,https://image.alza.cz/products/MC542a3/MC542a3.jpg?width=2000&height=2000
87,"Počítačová skříň mATX, 2× 3,5"", 3× 2,5"", USB 3.0, 2x120mm ventilátor, max. výška chladiče 172 mm, max. délka grafické karty 315 mm, bez zdroje, temperované sklo.",Fractal Design Focus 2 Black TG Clear Tint,3559,6,9,9,https://image.alza.cz/products/CBf2a1/CBf2a1.jpg?width=2000&height=2000
88,"Počítačová skříň ATX, 2× 3,5"", 2× 2,5"", USB 3.0, 3x120mm ventilátor, max. výška chladiče 160 mm, max. délka grafické karty 330 mm, bez zdroje, temperované sklo.",NZXT H5 Flow RGB (2024) All Black,1469,9,9,9,https://image.alza.cz/products/CBh5fr4/CBh5fr4.jpg?width=2000&height=2000
89,"Počítačová skříň ATX, 2× 3,5"", 2× 2,5"", USB 3.0, 2x120mm ventilátor, max. výška chladiče 165 mm, max. délka grafické karty 350 mm, bez zdroje, temperované sklo.",Fractal Design North Charcoal Black TG Dark,1489,10,9,9,https://image.alza.cz/products/CBnor2/CBnor2.jpg?width=2000&height=2000
90,"Počítačová skříň ATX, 2× 3,5"", 2× 2,5"", USB 3.0, 1x120mm ventilátor, max. výška chladiče 160 mm, max. délka grafické karty 350 mm, bez zdroje, temperované sklo.",darkFlash ARC1 Black,1321,11,9,9,https://image.alza.cz/products/DFLarc1b/DFLarc1b.jpg?width=2000&height=2000
91,"Odolná klávesnice s tichými klávesami, odolná proti polití, ideální pro každodenní použití.",Logitech K120 Klávesnice,299,25,9,10,https://image.alza.cz/products/MC001b1/MC001b1.jpg?width=2000&height=2000
92,Kompaktní bezdrátová myš s dlouhou výdrží baterie a spolehlivým připojením.,Logitech M185 Bezdrátová Myš,379,30,9,10,https://image.alza.cz/products/MG100i13/MG100i13.jpg?width=2000&height=2000
96,USB 3.0 hub s 7 porty pro rozšíření připojení zařízení.,TP-Link UH700 USB Hub 7 Portů,869,10,9,10,https://image.alza.cz/products/TP611a/TP611a.jpg?width=2000&height=2000
97,Ergonomická gelová podložka pod myš pro pohodlné ovládání.,Hama Gelová Podložka pod Myš,129,50,9,10,https://image.alza.cz/products/MB625e/MB625e.jpg?width=2000&height=2000
98,Drátová klávesnice s českým rozložením kláves a odolným provedením.,C-TECH KB-102 USB Klávesnice,199,35,9,10,https://image.alza.cz/products/MC399c1r2/MC399c1r2.jpg?width=2000&height=2000
99,HD webkamera s mikrofonem pro kvalitní video hovory.,Microsoft LifeCam HD-3000 Webkamera,899,12,9,10,https://image.alza.cz/products/ME373m/ME373m.jpg?width=2000&height=2000
100,"Herní sluchátka - drátová, s mikrofonem, přes hlavu, okolo uší, uzavřená konstrukce.",HyperX Cloud III Red,599,18,9,10,https://image.alza.cz/products/DS993l8/DS993l8.jpg?width=2000&height=2000
6,Vyvážený výkon pro běžné i náročnější využití.,AMD Ryzen 7 7700,8590,4,2,1,https://image.alza.cz/products/BD750k6a/BD750k6a.jpg?width=2000&height=2000
94,"USB mikrofon s nastavitelným stojanem, ideální pro streamování a podcasty.",Trust GXT 232 Mantis Mikrofon,499,15,9,10,https://image.alza.cz/products/JS258e1/JS258e1.jpg?width=2000&height=2000
95,Lehká sluchátka s nastavitelným mikrofonem a pohodlným nošením.,Genius HS-04SU Sluchátka s Mikrofonem,199,20,9,10,https://image.alza.cz/products/JG207h/JG207h.jpg?width=2000&height=2000
36,Výkonná paměť s nízkým profilem a hliníkovým chladičem pro efektivní odvod tepla.,ADATA XPG 32GB KIT DDR5 6000MT/s CL34 Lancer Blade Black,1899,28,2,4,https://image.alza.cz/products/DUr057/DUr057.jpg?width=2000&height=2000
93,USB 3.0 flash disk s kapacitou 64GB a výsuvným konektorem pro snadné použití.,ADATA UV150 64GB černý,249,35,9,10,https://image.alza.cz/products/DU080e6l/DU080e6l.jpg?width=2000&height=2000
86,"Počítačová skříň ATX, 3× 3,5"", 4× 2,5"", USB 3.2 Gen 2, 3x120mm ventilátor, max. výška chladiče 180 mm, max. délka grafické karty 400 mm, bez zdroje, temperované sklo.",ADATA XPG Valor Mesh Black,14910,1,9,9,https://image.alza.cz/products/DUxvm1/DUxvm1.jpg?width=2000&height=2000
45,"SSD disk 2.5"", SATA III, 3D NAND, rychlost čtení 520MB/s, rychlost zápisu 450MB/s, životnost 600TBW",ADATA SU650 1TB,1290,8,3,5,https://image.alza.cz/products/DU102n3e/DU102n3e.jpg?width=2000&height=2000
28,Deska pro AMD s podporou více grafických karet a PCIe 4.0.,ASROCK X570 Phantom Gaming 4,3599,13,4,3,https://image.alza.cz/products/AS292a2/AS292a2.jpg?width=1400&height=1400
8,Procesor s integrovanou grafikou vhodný pro all-in-one řešení.,AMD Ryzen 5 5600G,4890,22,2,1,https://image.alza.cz/products/BD740h24a/BD740h24a.jpg?width=2000&height=2000
